TIMESLICE,YEAR,VALUE
S75,2048,0.015
S75,2049,0.015
S75,2050,0.015
S76,2019,0.0225
S76,2020,0.0225
S76,2021,0.0225
S76,2022,0.0225
S76,2023,0.0225
S76,2024,0.0225
S76,2025,0.0225
S76,2026,0.0225
S76,2027,0.0225
S76,2028,0.0225
S76,2029,0.0225
S76,2030,0.0225
S76,2031,0.0225
S76,2032,0.0225
S76,2033,0.0225
S76,2034,0.0225
S76,2035,0.0225
S76,2036,0.0225
S76,2037,0.0225
S76,2038,0.0225
S76,2039,0.0225
S76,2040,0.0225
S76,2041,0.0225
S76,2042,0.0225
S76,2043,0.0225
S76,2044,0.0225
S76,2045,0.0225
S76,2046,0.0225
S76,2047,0.0225
S76,2048,0.0225
S76,2049,0.0225
S76,2050,0.0225
S81,2019,0.018
S81,2020,0.018
S81,2021,0.018
S81,2022,0.018
S81,2023,0.018
S81,2024,0.018
S81,2025,0.018
S81,2026,0.018
S81,2027,0.018
S81,2028,0.018
S81,2029,0.018
S81,2030,0.018
S81,2031,0.018
S81,2032,0.018
S81,2033,0.018
S81,2034,0.018
S81,2035,0.018
S81,2036,0.018
S81,2037,0.018
S81,2038,0.018
S81,2039,0.018
S81,2040,0.018
S81,2041,0.018
S81,2042,0.018
S81,2043,0.018
S81,2044,0.018
S81,2045,0.018
S81,2046,0.018
S81,2047,0.018
S81,2048,0.018
S81,2049,0.018
S81,2050,0.018
S82,2019,0.009
S82,2020,0.009
S82,2021,0.009
S82,2022,0.009
S82,2023,0.009
S82,2024,0.009
S82,2025,0.009
S82,2026,0.009
S82,2027,0.009
S82,2028,0.009
S82,2029,0.009
S82,2030,0.009
S82,2031,0.009
S82,2032,0.009
S82,2033,0.009
S82,2034,0.009
S82,2035,0.009
S82,2036,0.009
S82,2037,0.009
S82,2038,0.009
S82,2039,0.009
S82,2040,0.009
S82,2041,0.009
S82,2042,0.009
S82,2043,0.009
S82,2044,0.009
S82,2045,0.009
S82,2046,0.009
S82,2047,0.009
S82,2048,0.009
S82,2049,0.009
S82,2050,0.009
S83,2019,0.018
S83,2020,0.018
S83,2021,0.018
S83,2022,0.018
S83,2023,0.018
S83,2024,0.018
S83,2025,0.018
S83,2026,0.018
S83,2027,0.018
S83,2028,0.018
S83,2029,0.018
S83,2030,0.018
S83,2031,0.018
S83,2032,0.018
S83,2033,0.018
S83,2034,0.018
S83,2035,0.018
S83,2036,0.018
S83,2037,0.018
S83,2038,0.018
S83,2039,0.018
S83,2040,0.018
S83,2041,0.018
S83,2042,0.018
S83,2043,0.018
S83,2044,0.018
S83,2045,0.018
S83,2046,0.018
S83,2047,0.018
S83,2048,0.018
S83,2049,0.018
S83,2050,0.018
S84,2019,0.012
S84,2020,0.012
S84,2021,0.012
S84,2022,0.012
S84,2023,0.012
S84,2024,0.012
S84,2025,0.012
S84,2026,0.012
S84,2027,0.012
S84,2028,0.012
S84,2029,0.012
S84,2030,0.012
S84,2031,0.012
S84,2032,0.012
S84,2033,0.012
S84,2034,0.012
S84,2035,0.012
S84,2036,0.012
S84,2037,0.012
S84,2038,0.012
S84,2039,0.012
S84,2040,0.012
S84,2041,0.012
S84,2042,0.012
S84,2043,0.012
S84,2044,0.012
S84,2045,0.012
S84,2046,0.012
S84,2047,0.012
S84,2048,0.012
S84,2049,0.012
S84,2050,0.012
S85,2019,0.006
S85,2020,0.006
S85,2021,0.006
S85,2022,0.006
S85,2023,0.006
S85,2024,0.006
S85,2025,0.006
S85,2026,0.006
S85,2027,0.006
S85,2028,0.006
S85,2029,0.006
S85,2030,0.006
S85,2031,0.006
S85,2032,0.006
S85,2033,0.006
S85,2034,0.006
S85,2035,0.006
S85,2036,0.006
S85,2037,0.006
S85,2038,0.006
S85,2039,0.006
S85,2040,0.006
S85,2041,0.006
S85,2042,0.006
S85,2043,0.006
S85,2044,0.006
S85,2045,0.006
S85,2046,0.006
S85,2047,0.006
S85,2048,0.006
S85,2049,0.006
S85,2050,0.006
S86,2019,0.009199999999999653
S86,2020,0.009199999999999653
S86,2021,0.009199999999999653
S86,2022,0.009199999999999653
S86,2023,0.009199999999999653
S86,2024,0.009199999999999653
S86,2025,0.009199999999999653
S86,2026,0.009199999999999653
S86,2027,0.009199999999999653
S86,2028,0.009199999999999653
S86,2029,0.009199999999999653
S86,2030,0.009199999999999653
S86,2031,0.009199999999999653
S86,2032,0.009199999999999653
S86,2033,0.009199999999999653
S86,2034,0.009199999999999653
S86,2035,0.009199999999999653
S86,2036,0.009199999999999653
S86,2037,0.009199999999999653
S86,2038,0.009199999999999653
S86,2039,0.009199999999999653
S86,2040,0.009199999999999653
S86,2041,0.009199999999999653
S86,2042,0.009199999999999653
S86,2043,0.009199999999999653
S86,2044,0.009199999999999653
S86,2045,0.009199999999999653
S86,2046,0.009199999999999653
S86,2047,0.009199999999999653
S86,2048,0.009199999999999653
S86,2049,0.009199999999999653
S86,2050,0.009199999999999653
