REGION,FUEL,YEAR,VALUE
RE1,DEMRL2,2048,4.41
RE1,DEMRL2,2049,4.51
RE1,DEMRL2,2050,4.61
RE1,DEMRO1,2019,3.08
RE1,DEMRO1,2020,3.23
RE1,DEMRO1,2021,3.4
RE1,DEMRO1,2022,3.58
RE1,DEMRO1,2023,3.76
RE1,DEMRO1,2024,3.94
RE1,DEMRO1,2025,4.14
RE1,DEMRO1,2026,4.35
RE1,DEMRO1,2027,4.57
RE1,DEMRO1,2028,4.8
RE1,DEMRO1,2029,5.03
RE1,DEMRO1,2030,5.28
RE1,DEMRO1,2031,5.53
RE1,DEMRO1,2032,5.8
RE1,DEMRO1,2033,6.08
RE1,DEMRO1,2034,6.36
RE1,DEMRO1,2035,6.66
RE1,DEMRO1,2036,6.96
RE1,DEMRO1,2037,7.27
RE1,DEMRO1,2038,7.59
RE1,DEMRO1,2039,7.92
RE1,DEMRO1,2040,8.26
RE1,DEMRO1,2041,8.61
RE1,DEMRO1,2042,8.97
RE1,DEMRO1,2043,9.33
RE1,DEMRO1,2044,9.71
RE1,DEMRO1,2045,10.09
RE1,DEMRO1,2046,10.48
RE1,DEMRO1,2047,10.88
RE1,DEMRO1,2048,11.29
RE1,DEMRO1,2049,11.71
RE1,DEMRO1,2050,12.14
RE1,DEMRO2,2019,0.99
RE1,DEMRO2,2020,1.05
RE1,DEMRO2,2021,1.12
RE1,DEMRO2,2022,1.18
RE1,DEMRO2,2023,1.25
RE1,DEMRO2,2024,1.32
RE1,DEMRO2,2025,1.39
RE1,DEMRO2,2026,1.46
RE1,DEMRO2,2027,1.53
RE1,DEMRO2,2028,1.6
RE1,DEMRO2,2029,1.68
RE1,DEMRO2,2030,1.75
RE1,DEMRO2,2031,1.83
RE1,DEMRO2,2032,1.9
RE1,DEMRO2,2033,1.98
RE1,DEMRO2,2034,2.06
RE1,DEMRO2,2035,2.14
RE1,DEMRO2,2036,2.21
RE1,DEMRO2,2037,2.29
RE1,DEMRO2,2038,2.37
RE1,DEMRO2,2039,2.44
RE1,DEMRO2,2040,2.52
RE1,DEMRO2,2041,2.6
RE1,DEMRO2,2042,2.67
RE1,DEMRO2,2043,2.74
RE1,DEMRO2,2044,2.82
RE1,DEMRO2,2045,2.89
RE1,DEMRO2,2046,2.96
RE1,DEMRO2,2047,3.03
RE1,DEMRO2,2048,3.1
RE1,DEMRO2,2049,3.17
RE1,DEMRO2,2050,3.23
RE1,DEMTAI,2019,0.0
RE1,DEMTAI,2020,0.0
RE1,DEMTAI,2021,0.0
RE1,DEMTAI,2022,0.0
RE1,DEMTAI,2023,0.0
RE1,DEMTAI,2024,0.0
RE1,DEMTAI,2025,0.0
RE1,DEMTAI,2026,0.0
RE1,DEMTAI,2027,0.0
RE1,DEMTAI,2028,0.0
RE1,DEMTAI,2029,0.0
RE1,DEMTAI,2030,0.0
RE1,DEMTAI,2031,0.0
RE1,DEMTAI,2032,0.0
RE1,DEMTAI,2033,0.0
RE1,DEMTAI,2034,0.0
RE1,DEMTAI,2035,0.0
RE1,DEMTAI,2036,0.0
RE1,DEMTAI,2037,0.0
